id,location_name,sector,subsector,pollutant,emissions_quantity_tonnes,latitude,longitude,year
1377032,Bugangaizi County,buildings,residential-onsite-fuel-usage,pm2_5,987.1,0.9635,31.2904,2025
1376975,Koboko County,buildings,residential-onsite-fuel-usage,pm2_5,977.51,3.5368,30.9839,2024
1377025,Bukonjo County,buildings,residential-onsite-fuel-usage,pm2_5,972.24,0.0804,29.8199,2025
1376971,Maruzi County,buildings,residential-onsite-fuel-usage,pm2_5,972.22,1.918,32.4817,2025
1377056,Katikamu County,buildings,residential-onsite-fuel-usage,pm2_5,968.93,0.8445,32.5214,2024
1377065,Kibanda County,buildings,residential-onsite-fuel-usage,pm2_5,967.74,1.9938,32.0498,2024
1376993,Omoro County,buildings,residential-onsite-fuel-usage,pm2_5,958.81,2.6458,32.4968,2025
1377025,Bukonjo County,buildings,residential-onsite-fuel-usage,pm2_5,948.96,0.0804,29.8199,2024
1377073,Isingiro County,buildings,residential-onsite-fuel-usage,pm2_5,946.24,-0.8383,30.7053,2024
1377049,Dokolo County,buildings,residential-onsite-fuel-usage,pm2_5,944.73,1.9103,33.0751,2024
1377036,Kisoro County,buildings,residential-onsite-fuel-usage,pm2_5,943.6,-1.2026,29.674,2025
1377037,Chua County,buildings,residential-onsite-fuel-usage,pm2_5,943.16,3.4442,33.4841,2024
1377090,Mityana County,buildings,residential-onsite-fuel-usage,pm2_5,941.66,0.5082,32.0654,2025
1377032,Bugangaizi County,buildings,residential-onsite-fuel-usage,pm2_5,930.49,0.9635,31.2904,2024
1377033,Buyaga County,buildings,residential-onsite-fuel-usage,pm2_5,923.11,1.0013,30.7952,2025
1377089,Kassanda County,buildings,residential-onsite-fuel-usage,pm2_5,921.56,0.5334,31.7622,2025
1377103,Ruhaama County,buildings,residential-onsite-fuel-usage,pm2_5,921.52,-0.8918,30.4088,2025
1376971,Maruzi County,buildings,residential-onsite-fuel-usage,pm2_5,917.74,1.918,32.4817,2024
1376972,Oyam County,buildings,residential-onsite-fuel-usage,pm2_5,916.93,2.349,32.4234,2026
1376995,Buhaguzi County,buildings,residential-onsite-fuel-usage,pm2_5,912.3,1.3028,31.0999,2025
1376993,Omoro County,buildings,residential-onsite-fuel-usage,pm2_5,910.35,2.6458,32.4968,2024
1376987,Sheema County,buildings,residential-onsite-fuel-usage,pm2_5,910.31,-0.592,30.372,2025
