id,location_name,sector,subsector,pollutant,emissions_quantity_tonnes,latitude,longitude,year
1376981,Bwamba County,buildings,residential-onsite-fuel-usage,pm2_5,497.22,0.6501,30.0414,2025
1376993,Omoro County,buildings,residential-onsite-fuel-usage,pm2_5,495.46,2.6458,32.4968,2026
1377025,Bukonjo County,buildings,residential-onsite-fuel-usage,pm2_5,491.05,0.0804,29.8199,2026
1377110,Kibuku County,buildings,residential-onsite-fuel-usage,pm2_5,483.83,1.0589,33.8044,2025
1377033,Buyaga County,buildings,residential-onsite-fuel-usage,pm2_5,480.66,1.0013,30.7952,2026
1376981,Bwamba County,buildings,residential-onsite-fuel-usage,pm2_5,479.93,0.6501,30.0414,2024
1377090,Mityana County,buildings,residential-onsite-fuel-usage,pm2_5,479.5,0.5082,32.0654,2026
1376995,Buhaguzi County,buildings,residential-onsite-fuel-usage,pm2_5,475.89,1.3028,31.0999,2026
1377036,Kisoro County,buildings,residential-onsite-fuel-usage,pm2_5,475.12,-1.2026,29.674,2026
1377110,Kibuku County,buildings,residential-onsite-fuel-usage,pm2_5,474.75,1.0589,33.8044,2024
1377089,Kassanda County,buildings,residential-onsite-fuel-usage,pm2_5,474.66,0.5334,31.7622,2026
1377099,Jonam County,buildings,residential-onsite-fuel-usage,pm2_5,472.69,2.4681,31.4012,2025
1377000,Butembe County,buildings,residential-onsite-fuel-usage,pm2_5,472.4,0.5571,33.3002,2025
1377103,Ruhaama County,buildings,residential-onsite-fuel-usage,pm2_5,471.92,-0.8918,30.4088,2026
1377104,Rushenyi County,buildings,residential-onsite-fuel-usage,pm2_5,470.65,-1.037,30.168,2025
1377000,Butembe County,buildings,residential-onsite-fuel-usage,pm2_5,468.74,0.5571,33.3002,2024
1376987,Sheema County,buildings,residential-onsite-fuel-usage,pm2_5,460.89,-0.592,30.372,2026
