headword,pos,definition,clarifier,example_runyankore,example_english,section
akaceceko,n,a quiet moment,"lull, silence",,,A
akacencuzo,n,a sieve.,,,,A
akaceremete,n,a person who is thin and short.,,,,A
akacookore,n,blemish.,,,,A
akacookorekane,n,many small facts about something or someone.,detail,,,A
akacuju,n,a very old cloth.,,,,A
akacumu,n,instrument for writing in ink.,pen,Omushomesa yaahandiikisa akacumu karikutukura omu kitabo kyangye.,The teacher has written in my book with a red pen.,A
akacurama,n,a flying mammal.,bat,,,A
akacwa mabunu,n,penis.,,,,A
akacwabazaire,n,very small insect with a long narrow body and many pairs of legs.,millipede,,,A
akacwa-mboro,n,,,,,A
akacwa-mburara,n,a type of snake.,,,,A
akacwankoni,n,a noctunal bird that whistles.,,,,A
akacwano,adj,something done excessively.,,Rukondo yaabo n'ey'akacwano.,They love each other so much.,A
akadeeya,n,a sack made of sythentic fibres.,,Eibiikiro riijwire obudeeya bw'ebicoori.,The store is full of sucks of maize.,A
akadobo,n,pail or bucket.,,Titwayeshera nte ahabw'okuba akadobo kaatikire.,We have not given water to the cows because the bucket got broken.,A
akaduukuru,n,a small room in a prison.,cell,,,A
akafuba,n,,,,,A
akafubire,n,written or pictorial matter intended to arouse sexual feelings.,pornography,,,A
akafubire,n,a task beset with unusual problems.,,,,A
akafunzi,n,a tiny reddish bird.,fire-finch,,,A
akagarani,n,"an air tight sealed container for preserving food, made of a tin plate or aluminium.",,,,A
akagayano,n,,,,,A
akagiigya,n,a certain type of grass normally planted in the compound.,,,,A
akagiiko,n,small spoon used for stirring tea.,tea spoon,,,A
akagirita,n,a sharp small razor that is used to shave or cut.,razor blade,,,A
akagombambure,n,a protruding bone where the leg is joined to the foot.,ankle,,,A
akagombamburi,n,,,,,A
akagoroda,n,a bracelet.,bungle,,,A
akagwe,n,unexpected bad situation.,calamity,,,A
akagyega,n,"basket with handles, used for shopping.",,,,A
akagyegyena,n,"instrument used for seperating solids from liquids, coarser from finer particles.",sieve,,,A
akagyenda-kahiire,n,a brownish grasshopper.,,Naakwata eseeneene nyingi kwonka akagyenda kahiire ni kamwe.,I have gathered many grasshoppers but there is only one brownish grasshopper.,A
akagyogo,n,a small bottle of 250ml used for measuring spirits.,,,,A
akahararo,n,the act of befriending or being in love with someone or something that is still new for a short period of time.,infatuation,,,A
akahatano,n,competetion for something.,,Nyomwabazyo haabaireho akahatano k'okuvuga emotoka.,Yesterday there was a motor rally.,A
akaheehe,n,a condition where someone gets excited on hearing or getting something good.,excitement,Ti kirungi kugira akaheehe ebintu ebi bitakarabiremu.,It is not good to get excited over things you have not yet recieved.,A
akaheehe,n,the act of doing something due to influence from people of the same age.,peer influence,,,A
akahimba,n,clitoris.,,,,A
akaho,n,an eye disease that causes temporaryloss of sight temporarily.,,,,A
akahoiho,n,a small moth.,,Akahoiho kagwa omu mate.,A small moth has fallen in the milk.,A
akahoiho,n,,,,,A
akahugye,n,"a state of uncertainity about what is happening, what should be done, what something means, etc.",confusion,Naashusha nk'oine akahugye.,,A
akahugye,n,mental disorder.,,Omwana akazaarwa aine akahugye.,A child was born with a mental disorder.,A
akahumbi,n,"a number of things equivalent to one thousand millions; 1,000,000,000.",one billion,,,A
akahuna,n,a state of confusion.,,Omukazi akagwa omu kahuna ku baamazire kwiba enshaho ye.,The woman was in a state of confusion after stealing her bag.,A
akahuna,n,a game played by children where one taps another and the tapped child runs after the other to tap him or her also.,,,,A
akahundu,n,,,,,A
akahungabeebe,n,a small flying termite.,,,,A
akahungambeba,n,,,,,A
akahuumuro,n,a short break from daily routine.,,,,A
akahuuna,n,,,,,A
akahwihwi,n,,,,,A
akaiba,n,a small dove which stays in the bush.,,,,A
akaibo,n,a small basket in which mingled millet is served.,,,,A
akaicokombe,n,,,,,A
akaimukiriro,n,a state of confusion where people move up and down to show their disagreement.,upraising,,,A
akainiko,n,the act of helping someone to complete the task.,,,,A
akaishebakami,n,space between the leg and the udder in a cow.,,,,A
akaisikonda,n,,,,,A
akaitanda,n,a tiny snake-like lizard with a very smooth skin and normally found in dry grass.,,,,A
akaitanyenje,n,a tablet used to deter crawling insects from destroying clothes.,insect repellant,,,A
akajagararo,n,,,,,A
akajagiro,n,a place where people meet to buy and sell their goods.,market,,,A
akajengyeijo,n,,,,,A
akajoina,n,,,,,A
akajoogano,n,,,,,A
akajoogo,n,contempt.,,,,A
akajugo,n,a pen cover.,,,,A
akajuma,n,a small solid piece of medicine that is swallowed.,tablet,,,A
akajuma,n,a small seed.,,,,A
akajunde,n,an unpleasant smell.,stench,Omu nju omu nihanuukamu akajunde.,There is an unpleasant smell in this house.,A
akakaikuru,n,one million.,,Nguzire eitaka naashashura akakaikuru kamwe.,I bought land at one million shillings.,A
akakangaasi,n,,,,,A
akakangaatsi,n,,,,,A
akakiiko,n,a group of people elected to do a certain task.,"council, committee or subcommittee",,,A
akakiiko,n,short meeting.,,Twagiraho akakiiko k'eshaaha emwe.,We had a short meeting for one hour.,A
akakiro,n,a small hillock.,,Okutemba akakiro nikurusya.,It is tiresome to climb a hillock.,A
akakoki,n,a small water course or a gulley: a small valley.,,,,A
akakoma,n,a rubber or plastic bracelet.,,Omwishiki ajwaire akakoma aha mukono.,The girl is putting on a rubber or plastic bracelet on her arm.,A
akakondo,n,a small cooking pot for beans that is made of clay.,,,,A
akakondo,n,a sliding bar or metal for fastening a door or window.,bolt,,,A
akakondo,n,a high-heeled shoe.,,,,A
akakooko,n,a creature with six legs and body divided into three parts.,insect,,,A
akakooko,n,"a living thing often too small to be seen without a microscope that causes infectious diseases in human beings, animals and plants.","germ, bacterium, virus",Bamukyebeire baashanga aine akakooko ka siriimu.,They tested him and found that he has a virus that causes AIDS.,A
akakwate,n,the connection between two people or two things.,relationship,Omushaija ogu mwineho akakwate kahango.,I have a strong relationship with this man.,A
akakyencuzo,n,a tool used for seperating larger solids from smaller ones.,sieve,Oburo baabuta aha kakyencuzo kwihamu amabaare.,They have put millet on the sieve to remove stones.,A
akakyenkye,n,a traditional musical instrument in Kigezi and Ankole which produces sound after shaking.,seed-tray musical instrumental,,,A
akame,n,"a small animal with soft fur, long ears, and a short tail which is kept by people as a pet or for food.","rabbit, hare",,,A
akameshu,n,a device used for trapping animals especially rats.,rat trap,,,A
