headword,pos,definition,clarifier,example_runyankore,example_english,section
ekikaca,n,an isolation hut that was traditionally built for isolation of twins before initiation.,,,,E
ekikaiga,n,young bean pod when eaten as such.,,,,E
ekikama,n,a queen bee or queen ant that does not work and only lives in order to reproduce.,,,,E
ekikama ky'amaizi,n,this is a medium sized long legged black insect that lives in water most of its time; it resembles a cocroach almost.,,,,E
ekikamba,n,a plant creeper: any plant that grows along the ground or on other plants.,a plant creeper,,,E
ekikande,n,a neglected garden filled with overgrown weeds.,,,,E
ekikano,n,an abuse in which a person makes a sound 'ndoo' where the tongue touches the alveolar.,,,,E
ekikanu,n,sterno-mastoid: one of the neck muscles.,sterno-mastoid,,,E
ekikara,n,bad body odour especially from armpits when one has not bathed or used a deodorant.,,,,E
ekikaragwe,n,a tree specie.,,,,E
ekikarakare,n,a tree usually found in banana plantations and is used as to support bananas.,,,,E
ekikaranga,n,a newly burnt field where grass has not sprout again.,,,,E
ekikarango,n,frying-pan.,,,,E
ekikaru,n,,,,,E
ekikatu,n,an injection: an act of putting a drug into a person's body using a syringe.,an injection,,,E
ekikaya,n,,,,,E
ekikayaabu,n,fish: Salted fish.,fish,,,E
ekikazi,adj,female: being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop.,female,,,E
ekikindigiti,n,any dress that is short.,,,,E
ekikindo,n,a palm tree.,,,,E
ekiko,n,a type of Ugandan coral tree with short thorns. Erythna Abssinica.,,,,E
ekikoco,n,an old emanciated cow.,,,,E
ekikoijo,n,a sugarcane: a tall tropical plant from w hose stem sugar is made.,a sugarcane,,,E
ekikombe,n,birth mark: a red black mark on a person's skin that has been there since the person was born.,birth mark,,,E
ekikomera,n,an open air market that is in most cases scheduled where goods are sold from.,,,,E
ekikompora,n,a bomb shell: a metal case filled with explosives fired from abig gun.,a bomb shell,,,E
ekikonda,n,sputum: a sticky liquid that comes as a result of cough from the throat.,sputum,,,E
ekikonde,n,a punch: a hand hit made with a fist.,a punch,,,E
ekikondo,n,a pole: a piece of wood fixed in a certain place.,a pole,,,E
ekikondo,n,medicine tied on a piece of cloth and tied around the waist usually for prevention of diseases.,,,,E
ekikongi,n,,,,,E
ekikongoriro,n,maize cob.,,,,E
ekikongoro,n,,,,,E
ekikongororo,n,,,,,E
ekikonko,n,maize stem.; a garden where maize or sorghum have been harvested.,,,,E
ekikoobe,n,a herdsman's whistle.,,,,E
ekikoohe,n,a type of cloth usually worn by women as a skirt with fringes on the side. Some Bahima men use it as a scarf but a smaller one.,,,,E
ekikooko,n,an animal.,,,,E
ekikoomi,n,a temporary kraal for cows when people have just migrated before they settle permanently.,,,,E
ekikoomi,n,camp fire: fire lit at night during the time of bereavement.,camp fire,,,E
ekikoora,n,leaves of a tobacco plant.,,,,E
ekikoori,n,eye blow.,,,,E
ekikoosi,n,a battalion.,,,,E
ekikoote,n,a solid independent particle of soil.,,,,E
ekikopo,n,cup: a trophy.,cup,,,E
ekikoro,n,a bad act that is not pleasant to people.,,,,E
ekikoro,n,milk jar: a container used for keeping or drinking milk.,milk jar,,,E
ekikorongyezo,n,a torch.,,,,E
ekikoroogyero,n,,,,,E
ekikorwa,n,one of the mysteries of the rosary.,,,,E
ekikorwa,n,an act.,,,,E
ekikubyo,n,nick name: a name which is not originally given to someone but may be derived from his or her character or behavior.,nick name,,,E
ekikuku,n,a heap of grass burnt in the garden or a heap of stones.,,,,E
ekikumi,adv,running at a very fast pace.,,,,E
ekikumiriro,n,fence: an area sorrounded by a fence in which animals are kept.,fence,,,E
ekikumu,n,toe or finger.,,,,E
ekikunga-musisi,adj,a big crowd: many people.,a big crowd,,,E
ekikungu,n,an anthill: a pile of earth formed by ants over their nests.,an anthill,,,E
ekikunku,n,a very short finger.,,,,E
ekikunkuri,n,,,,,E
ekikuruma,n,spleen: a small organ near the stomach that controls the quality of the blood cells.,spleen,,,E
ekikurumuriro,n,surface defaced by something heavy drugged on it.,,,,E
ekikuura,n,"a way of cutting hair in patches, which was done by girls.",a hair style,,,E
ekikwato,n,a weapon.,,Bakahenda eibiikiro baiba ebikwato by'amahe.,They broke into the store and stole weapons for the army.,E
ekikwatsi,n,safety pin.,,,,E
ekikweijo,n,,,,,E
ekikyere,n,a rough skinned animal that lives on land and breeds in water.,frog,,,E
ekimama,,the act of doing something with excessive pride.,,,,E
ekimasha,n,a young bull.,,,,E
ekimbirimbiri,n,a child that is born with significant deformity. This child is neither human nor animal.,,Ku yazaire ekimbirimbiri yakiita yaakinaga omu kishaka.,"When she gave birth to an abnormal child, she throw it in the bush.",E
ekimbuuro,n,a big crowd where many people are gathered.,,,,E
ekimbuuro,n,,,,,E
ekimera,n,anything that grows from soil and has life.,plant,,,E
ekimironko,n,the space between vocal cords which produces sound of the voice by the movement in which the space is opened and closed to all in and out and restict that air.,Adam's apple,,,E
ekimooto,adv,a speech with nosal intonation where words cannot be heard clearly.,,,,E
ekimuri,n,the coloured part of a plant from which the seed or fruit develops.,flower,,,E
ekimyamya,n,a type of porridge made from millet flour after it has been left to ferment for one day.,,,,E
ekinaabiro,n,a place or room where people take bath.,bathroom,,,E
ekine,n,a large organ in the body that produces bile and cleans blood; liver of some animals is cooked and eaten.,,,,E
ekinenera,n,something that remains after removing grains from a maize fruit.,,,,E
ekiniga,n,astrong emotion; a feeling that is oriented toward some real or supposed grievance.,anger,,,E
ekiniini,n,"a small, long and many legged creature, which usually feeds on leaves, plants, and later develops into an insect with wings like a butterfly.",caterpillar,,,E
ekiniini,n,,,,,E
ekinkumu,n,a mark made by attaching a person's thumb on a paper or a piece of work as a signature.,thumb print,,,E
ekinombe,n,a place where soil or clay for making bricks is extracted from.,"a querry, mine",,,E
ekinombe,n,a place where soil or clay for making bricks is extracted from.,,,,E
ekinombe,n,,,,,E
ekinosi,n,an enlarged navel with a deep hole in it.,,,,E
ekintu,n,a wor used to refer to an undefined item.,thing,Ekintu eki naaba nindonda kyanyeba.,I have forgotten the thing I wanted to use.,E
ekintu,n,a disorder in the stomach that causes rambling.,,,,E
ekinuuko,n,a bad smell.,stench,,,E
ekinuuko,n,a bad smell that is unpleasant.,,,,E
ekinuzi,n,the moment during sexual intercourse when feelings reach a climax.,orgasm,,,E
ekinya,n,"a small creature in the reptile family that has a black and grey coloured skin, four legs and a long tail.",lizard,,,E
ekinyaanyindo,adv,a manner through which one speaks through the nose instead of the mouth as one tries to articulate a sound.,,,,E
ekinyaariro,n,a place designed for urinating in.,urinal,,,E
ekinyaatsi,n,"a common wild plant with narrow green leaves and stem that are often eaten by cattle, horses, sheep, etc.",grass,,,E
ekinyabaishiki,n,an edible mushroom.,mushroom,,,E
ekinyabubiri,n,a person or an animal with both male and female sexual organs or features.,hermaphrodite,,,E
ekinyabwoba,n,a person who become nervous and afraid in taking a risk.,cowardly person,,,E
ekinyabwoya,,a woolly caterpillar.,,,,E
ekinyagashani,n,a tropical weed common in banana plantantions.,,,,E
ekinyamasha,n,a type of inedible mushroom that grows on cowdung.,,,,E
ekinyampo,n,gases that are released from the bowels through the anus.,fart,,,E
ekinyamuriro,n,a common weed found in banana plantations.,,,,E
ekinyamwikiririza,n,a person who simply accepts whatever he is told to do.,stooge,,,E
ekinyandaaro,n,a child born before a girl is married.,bustard,,,E
ekinyangondo,n,gastropod mollusk usually having an external enclosing spiral shell where the whole body can be withdrawn.,snail,,,E
ekinyangondookyera,n,a snail.,,,,E
ekinyankwanzi,n,a song bird with a straight beak.,starling,,,E
ekinyanshunju,n,an unmarried woman who stays with a married man as if the two were married.,concubine,,,E
ekinyantinda,n,,,,,E
ekinyariisho,n,a penis whose foreskin cannot cover it completely.,,,,E
ekinyashande,n,,,,,E
ekinyegye,n,fish-trap.,,,,E
ekinyenyeezi,n,an opening in a roof or wall.,,,,E
ekinyimanyima,n,a dark area on a surface caused by an object standing between direct light and that surface.,shadow,,,E
ekinyiriri,adj,naturally straight hair.,,,,E
ekinyogori,n,a young form of an insect found in decaying foods or anything rotting.,maggot,,,E
ekinyogori,n,larva form of an insect.,,,,E
ekinyogote,n,a relatively large rodents with sharp erectile bristles mingled with the fur.,porcupine,,,E
ekinyonyi,n,a flying creature covered with feathers and with two wings and two legs.,bird,,,E
ekinyoobwa,n,an edible nut that grows underground in a thin shell.,groundnut,,,E
ekinywabwino,n,a type of paper that sucks sprinkled ink.,blotting paper,,,E
ekinywashande,n,a finch-like African and Asian colonial birds noted for their elaborately woven nests.,weaver-bird,,,E
ekinywebwa-bakazi,adj,sweet local brew that has not fully fermented.,,,,E
ekipaku,n,a feeling of pleasure or satisfaction that one gets from doing something well or from owning or being responsible for something excellent that is widely admired.,,,,E
ekipampagari,n,a hard sheet that covers the book on either side.,book cover,,,E
ekipampagari,n,a curved strip or cover over a wheel that is used to protect a vehicle or a rider of a bicycle or motorcycle from water or mud.,mudguard,,,E
ekipampari,n,remnant of a wrecked mettalic object.,wreckage,,,E
ekipande,n,labourer's ticket or appointment letter.,,,,E
ekipande,n,a sign attached to a post which has information about something or directions to a place.,,,,E
ekipande,n,a piece of paper which the hospital gives to the patient with the information on it used to describe the person's sickness.,hospital card,,,E
ekipapura,n,a rough paper used to do rough work.,,,,E
ekipimiso,n,"a measuring device for length, height or weight.",measuring or weighing standard,,,E
ekipimpiri,adj,a person who is shorter than a normal human being.,,,,E
ekipingamiizi,n,a person of subnormal intelligence.,idiot,,,E
ekipumpuriya,n,a long underwear worn by women of the old generation.,,,,E
ekipumpuru,n,a cattle disease transmitted by tsetseflies.,"nagana, trypanasomiasis",,,E
ekiraamo,n,a legal document declaring a person's wishes regarding the disposal of their property when they die.,a will,,,E
ekiraare,n,a combination of weeds in a garden.,weeds,,,E
ekiraariko,n,"an announcement to make people aware of what is going to happen, especially in the community.",,,,E
ekiraaro,n,an area sorrounded by a fence in which animals are kept at night.,kraal,,,E
ekiraasi,n,a group of students taught together.,class,,,E
ekiraatwa,n,an outer covering for a person's foot usually made of leather or plastic.,shoe,,,E
ekiraba,n,a way of cutting hair in olden days. This was only done by newly married.,a hairstyle,,,E
ekirabo,n,something valuable that is given to someone as a present for having excelled in something or on a special occasion.,prize or present,,,E
ekirabo,n,a place where alcoholi drinks are served.,club,,,E
ekirabuko,adv,to bathe some parts of the body,,,,E
ekirabyo,n,the part of a plant from which the seed or fruit develops,flower,,,E
ekiragaano,n,a signed written agreement between two or more parties (desiring to perform a mutual activity),covenant,,,E
ekiragi,n,a person who has no respect for himself and others,crazy person,,,E
ekiragiro,n,a rule established for regulating the behaviour of the members of the community,a law,,,E
ekirago,n,a thick fabric for covering floors,carpet,,,E
ekirahiro,n,a formal promise or statement declaring a commitment to do something,oath,,,E
ekirahuri,n,a hard normally transparent substance that can break easily,glass,,,E
ekiramusyo,n,something you say to someone,a greeting,,,E
ekirandakwata,n,a useless person,,,,E
ekiranga,adj,a broken pot,,,,E
ekiranga,n,a patch or spot on the body of an animal,,,,E
ekiranga,adj,"any container, room or building that is empty",,,,E
ekirangi,n,a coloured pencil or crayon,,Nguzire ebirangi naashanga byona nibishushana.,I bought colours and found that they are of the same colour.,E
ekirangiriro,n,,,,,E
ekirango,n,"an announcement, notice ог advertisement",,,,E
ekirare,adj,a person who wonders from place to place with no permanent place of abode,vagabond,,,E
ekirari,n,a mark or track left behind by the passage of someone or something,trail,,,E
ekirasho,n,a tool used to draw blood from cattle,bow and arrow,,,E
ekireebw'omwe,n,a star-like object which moves in the sky at high speed usually at night,,,,E
ekireere,n,dry banana fibres,,,,E
ekireju,n,the front part of the face below the mouth,chin,,,E
ekirema,n,a lame person or someone who is disabled,,,,E
ekiremba,n,white patch on the side of the hindquarters of a cow,,,,E
ekiremu,n,a piece of material placed over a hole or a torn place,patch,,,E
ekiremu,n,a large terrestrial monkey having doglike muzzles,baboon,,,E
ekirenga,adv,something that is too much or excessive,,,,E
ekirenga-bazaana,n,the time when the sun sets,sunset,,,E
ekirengo,n,"the actual size, weight, length or amount of something",measurement,,,E
ekirengye,n,the hard part of the foot of an animal,hoof,,,E
ekirenzyo,n,an expression with a hidden meaning,idiom,,,E
ekirere,n,a gourd which is used for keeping milk,,,,E
ekireruzo,n,a strainer for separating lumps from powdered material or grading particles,a sieve,,,E
ekirezi,n,a diastema in the front teeth of the cow,,,,E
ekiribatiro,n,a mark left on the surface where a person or animal has stepped,footprint,,,E
ekiribiko,n,"pit formed by the erosion of rock,",a pothole,Enguudo z'omu byaro niziba ziijwire ebibiko.,Most feeder roads in villages have potholes.,E
ekiriga,n,"the act of owning money, property as a result of the death of the previous owner",inheritance,,,E
ekiriiba,n,"a big home, a family constituting of many members",,,,E
ekiriibwa,n,,,,,E
ekiriiranda,n,a person who always eats excessively and is selfish,a glutton,,,E
ekiriira-ndugu,n,a person who is greedy and eats when he is hiding from others,,,,E
ekiriisa,n,the nutrients that we get from the food we eat,food nutrients,Abantu baingi tibarikurya ekiriisa kirikumaara.,Many people do not get enough nutrients.,E
ekirimba,n,"a plan for harming, capturimg or detecting something ог someone",trap,,,E
ekirimi,n,flames of fire. Okucwa ekirimi. To interrupt someone,,,,E
ekirindi,n,"a wooden or plastic part of the knife, panga, etc that is held when using it",handle,,,E
ekiriri,n,the first few day after a woman has given birth,,,,E
ekirungi,adj,"something that is good, morally right or acceptable",,,,E
ekiro,n,the time from sunset to sunrise,,,,E
ekiro,n,a day of the month or year,,,,E
ekirungo,n,a type of sauce used in seasoning food,spice,,,E
ekiro,n,"a day specified by a number set for a certain function, celebration, etc",,Ekiro ky'okugaitwa ni aha Rwamukaaga.,The day for holy matrimony is saturday.,E
ekirurumo,n,a low-pitched mumbling sound,,,,E
ekiruuku,n,a person who eats too much,glutton,,,E
ekirwa,n,a land mass sorrounded by a water body,island,,,E
ekiroboka,n,,,,,E
ekirofa,adv,a dirty or unclean thing,,,,E
ekirogoya,n,a type of bird,perch,,,E
ekiro-kikuru,n,"a day of festivals or rest from work in rememberance of an important event, for example Christmas",a public holiday,,,E
ekiroko,n,a white patch on the neck of a cow,,,,E
ekiromba,n,an abnormally big navel,,,,E
ekironda,n,any cut the skin or an organ caused by violence or surgical incision,a wound,,,E
ekirondogozi,n,a stupid or foolish person,,,,E
ekirooro,n,"a rude or offensive word, phrase used to express anger or violence",,,,E
ekirooto,n,a sequence of scenes and feelings occuring in the mind during sleep,a dream,,,E
ekirooto,n,the formation of a mental image of something that is not perceived as real and is not present to the senses,imagination,,,E
ekirorero,n,"public intertainment e.g. theatre show, radio or television programme",,,,E
ekirubi,n,a furnace,,,,E
ekirugu,n,a place where animals like goats are kept,kraal,,,E
ekiruguya,n,a swollen scar that develops on the ear when it is pierced,an overgrowth,,,E
ekiruhuuko,n,a long and deep sigh that shows one is tired and wants to sleep,,,,E
ekirumiko,n,a weapon used to suck the poison from someone who has been bitten by a snake,a cupping device,,,E
ekirumira-habiri,n,a type of non-poisonous snake whose tail resembles its head,,,,E
ekirundo,n,"a pile of things such as sand, books or rabbish",a heap,,,E
ekirunduro,n,a house where hens are confined to prevent them from destroying crops,,,,E
ekirunga,n,a circular head ornament made of gold and jewels worn by kings and queens on official occassions,a crown,,,E
ekirwaire,n,an unspecified painful disease in the abdomen,,,,E
ekirwaniso,n,any tool used in fighting or hunting,weapon,,,E
ekiryambeba,n,a type of rateating snake,,,,E
ekisaamunyu,n,a small black insect living in a complex social colony,a black ant,,,E
ekisangarana,n,a myriapod invertabrate with an elongated body composed of many segments most of which bear two pairs of legs,millipede,,,E
ekisanguzo,n,something used to wipe dust or chalk from the black board,duster,,,E
ekisanguzo,n,an eraser used in removing pencil or pen writings,,,,E
ekisasi,n,part of the roof projecting from the wall on top of the door,entrace,,,E
ekisebe,n,,,,,E
ekiseereezo,n,an emitted fat that does not make sound,,,,E
ekisegyesi,n,a large rodent with defensive spines or quills on the body and tail,porcupine,,,E
ekiseisa,n,the thin inner layer of the dry banana fibre or papyrus reed,,,,E
ekishaabo,n,a big gourd that is used in churning milk,,,,E
ekishaaha,n,,,,,E
ekishaaru,n,a reedlike swamp grass,,,,E
ekishaaru,n,a water logged area with no grass,a swamp,,,E
ekishaaya,n,,,,,E
ekishaayi,n,an area designed for sports activities,playground,,,E
ekishagiko,n,hair beads,ornament,,,E
ekishaju,n,the substance under the skin of humans and animals that stores energy and keeps them warm,fat,,,E
ekishaka,n,an area of land covered with natural trees and grasses,bush,,,E
ekishamato,n,an amount of something,handful,,,E
ekishamato,n,handful: a quantity that can be held in one hand.,handful,Akaiha ekishamato ky'ebinushu omu shaho ye.,He pulled out a handful of coins from his pocket.,E
ekishamba,n,floating vegetation on water.,,,,E
ekishandikiro,n,a pot used for smoking milk utensils.,,,,E
ekishankara,n,a dry and light object.,,,,E
ekishanku,n,dry cow dung.,,Mureete ekishanku ky'amasha tuhembe omuriro.,Bring the dry piece of cow dung and we use it to light fire.,E
ekishansha,n,a dry banana leaf.,,,,E
ekishansha2,n,stomach: the organ in the body where food goes after it has been swallowed.,stomach,,,E
ekisharagate,n,fence: an enclosure around the house usually made of dry reeds.,fence,,,E
ekisharara,n,swamp: an area in the valley which is wet and soft filled with water.,swamp,,,E
ekishare,n,subscription: payment to an organisation in order to recieve a product.,subscription,,,E
ekishare2,n,a calabash with a side opening used for drawing liquids.,,,,E
ekishashara,n,honey comb: a wax structure containing many small holes which is made by bees to store honey.,honey comb,,,E
ekishate,n,a piece split from the main mass.,,,,E
ekishebo,n,gift: something that is given as a present.,gift,,,E
ekisheenyi,n,sand bank: a deposit of sand forming a shallow area in the sea or river.,sand bank,,,E
ekisheeshero,n,urinal: a place designed for short call.,urinal,,,E
ekishekye,n,"straw, tube: a long hollow cylinder of metal, plastic, glass, etc. used for drinking.","straw, tube",,,E
ekishengye,n,bed room: a room built inside a house and used for sleeping.,bed room,Akombeka enju y'ekishengye kimwe.,He built a one-roomed house.,E
ekishengye,n,"room: a part of the building that has its own walls, floor and ceiling and is used for a specific purpose.",room,,,E
ekishengye,n,a wall.,,,,E
ekishenshero,n,entrance: a posterior gate.,entrance,,,E
ekisherebenganyi,n,"lizard: a type of reptile which is usually small and has a long body, four short legs, a long tail and a hard skin.",lizard,,,E
ekishigishiro,n,,,,,E
ekishinjo,n,rage: violent uncontrolled anger.,rage,,,E
ekishobyo,n,a mistake: an action or judgement that is misguided or wrong.,a mistake,,,E
ekishogashoga,n,,,,,E
ekishogoto,n,,,,,E
ekishoha,n,"a kingfisher: a bright coloured bird with long pointed beak, which lives near rivers and lakes and eats fish.",a kingfisher,,,E
ekishokonkoro,n,"shell: a hard outer covering of a nut, egg, seed, matchbox, etc when devoid of contents.",shell,,,E
ekishokozo,n,comb: a flat piece of plastic or metal or wood with a row of thin teeth along one side used for making one's hair neat.,comb,,,E
ekishoma,n,fresh bean leaves.,,,,E
ekishomero,n,remnants of milk or porridge left on the lips.,,,,E
ekishonga,n,chest pain.,,,,E
ekishore,n,puppy: a young dog.,puppy,,,E
ekishoreko,n,a knot on a rope used for tying cows.,,,,E
ekishorobwa,n,grub: a short fat worm found in thatch or cowdung.,grub,,,E
ekishoro-ky'ente,n,"dewlap: one of the parts of the cow on the lower part of the neck, which is always swinging, or dangling.",dewlap,,,E
ekishoronzyo,n,poem: a piece of writing in which the words are chosen for their sound and the images they suggest but not just for their obvious meanings.,poem,,,E
ekishoronzyo,n,chorus: part of a song that is sung after each verse.,chorus,,,E
ekishoroshoro,n,navel: a big navel.,navel,,,E
ekishoshonkore,n,,,,,E
ekishu,n,a round hut.,,,,E
ekishuba,n,lie: information given to decieve.,lie,,,E
ekishumuuruzo,n,"key: a specially made or shaped piece from a metal for locking or unlocking things like paddlocks, locks, cars.",key,,,E
ekishunshura,n,,,,,E
ekishuri,n,,,,,E
ekishurugu,n,groundnut husk.,,,,E
ekishushani,n,"picture, photograph, painting, image or visual presentation of something on paper, screen or in the mind.","picture, photograph, painting, image",,,E
ekishutama hamwe,adj,a person who does not move from one place to another.,,,,E
ekishutama-hamwe2,adj,a traditional stool.,,,,E
ekishuuga,n,a rogue: one who is tough and is known by people as chaotic.,a rogue,,,E
ekishuusha,n,"pumpkin leaves: pumpkin leaves which are picked, prepared and eaten as green vegetables.",pumpkin leaves,,,E
ekishwa,n,"anthill: raised soil or heap, mass of earth in which ants live.",anthill,Yaabugana enjoka y'encwera aha kishwa ky'ahagati y'omusiri gwabo.,She has met a cobra at the anthill in the middle of their garden.,E
ekishwa2,n,bird: a common small brown and grey bird found in many parts in the tropics.,bird,,,E
ekishwaga,n,eland: a type of large antelope with curled horns found in Africa.,eland,Ekishwaga nikituura omu bishaka.,An eland lives in the wild.,E
ekishwagara,n,pod: what remains after removing seeds e.g. beans peas e.t.c.,pod,Shwenkuru yantuma ebishwagara by'okuhembesa omuriro gw'ekikoome.,My grand father has sent me for empty bean podsto make a fire.,E
ekishwani,n,,,,,E
ekisibiko,n,,,,,E
ekisibiringanyi,n,a lizard.,,,,E
ekisibo,n,peg rope: a rope tied on a peg permanently for tying animals.,peg rope,,,E
ekisibo,n,tethering place: a place where domestic animals are tied each on a poll.,tethering place,,,E
ekisigaanyima,n,to move backwards while facing the front.,,,,E
ekisigaanyima,adv,a shadow of a moving object.,,,,E
ekisigaanyima,adv,the act of moving while facing the front.,,,,E
ekisigaate,n,maize or sorghum stem especially when chewed as one chews sugarcane.,,,,E
ekisigi,n,an eyelid which protects the eye from dust and other particles that may enter.,,,,E
ekisigisiro,n,"pot: type of a pot, which is big, where porredge is made and kept.",pot,Ekisigisiro kyangye kyatikire tinyine ah'okuta obushera.,"My pot is broken, I do not have where to put my porridge.",E
ekisiibayo,n,chasing your enemies when you are fighting and you push them afar.,,,,E
ekisiikuru,n,a black and white striped furry catarpillar.,,,,E
ekisiizi,n,a big pothole that is usually found in the road when it is raining heavily and it accomodates a lot of water.,,,,E
ekisiku,n,banana plant stump: the lower part of a banana plant after it has ben cut.,banana plant stump,,,E
ekisimba,n,huge person or animal.,,,,E
ekisimooni,n,coin money: a piece of metal that is used as money.,coin money,,,E
ekisina,n,the stump of a banana plant.,,,,E
ekisinde,n,a clod (lump of earth or clay).,,,,E
ekisindikwa,n,a weed plant common in banana plantations.,,,,E
ekisingiso,n,a brush used to wash utensils.,,Akazinga ekisingiso ky'okwozya ebyanzi.,She made a good brush to wash the milk pots.,E
ekisinsi,n,a tree stump: a stump of a tree that is left above the ground after it has been cut.,a tree stump,,,E
ekisira,n,a penis of a cow.,,,,E
ekisiraani,n,bad luck: something regarded by society to bring bad luck.,bad luck,,,E
ekisire,n,obstinate person.,,,,E
ekisirika-nkwirwa,n,a weed commonly found in a bean garden.,,,,E
ekisirikiriro,n,a small part at the end of the garden where they plant or sow the remaining seeds after the whole garden has been finished.,,,,E
ekisiriko,n,a hump in the road caused by erosion or floods.,,,,E
ekisiriko,n,a pothole.,,,,E
ekisiro,n,fern: non-flowering green plant that normally grows in wet areas and propagates itself by means of spores.,fern,,,E
ekisiru,n,,,,,E
ekisizi,n,a plant disease.,,,,E
ekisooko,n,locally made cigarette.,,,,E
ekisooni,n,gravel soil: red and silky soil that is extracted deep from underground.,gravel soil,,,E
ekisoroora,n,aroma produced by cooking food.,,,,E
ekisyarazi,n,stagnant water.,,,,E
ekisyokori,n,,,,,E
ekisyori,n,a look from a person's eyes that suggests annoyance,an angry look,,,E
ekitaaguka,n,a torn piece of cloth,,,,E
ekitaahiro,n,a woman's garment fastened around the waiste and around the legs,skirt,,,E
ekitaahiro,n,outer garment with long sleeves,coat,,,E
ekitaahiro,n,two-legged outer garment reaching the ankles,trouser,,,E
ekitaasa,n,,,,,E
ekitaba,n,ditch,,Tutimbire ekitaba omu rubaju rwomusiri kutangiriza amaizi.,We dug a ditch on the side of the garden for water drainage.,E
ekitabaraara,n,the guest of honour,,Nooha orikuza kuba ekitabarara aha bugyenyi bw'okugaitwa?,Who is going to be the guest of honour at the wedding feast?,E
ekitabashwa,n,a suit case,,,,E
ekitabo,n,a set of printed or written pages fastened together along one edge and enclosed between covers,book,,,E
ekitabo,n,a piece of furniture for reclining and sleeping usually consisting of a frame and a mattress,bed,,,E
ekitagata,n,a natural spring of water that is hot,hot spring,Akarwara baamutwara omu kitagata.,She fell sick and was taken to a hot spring.,E
ekitaka,n,a clod,,,,E
ekitakuri,n,a starchy and edible tuber plant. Ipomea batatas,sweet potato,,,E
ekitakuri,n,a starchy and edible tuber plant. Ipomea batatus,sweet potato,,,E
ekitamaazi,n,"lacking sensibility, ill feelings, unconscious and foolish",insane,,,E
ekitambaara,n,a handkerchief,,,,E
ekitambaara,n,a table cloth,,,,E
ekitambi,n,"a wrapper, with different colours, won as a long skirt underneath women's traditional suits",,,,E
ekitambo,n,something offered to be killed in order to appease a god,sacrifice,,,E
ekitanda,n,a piece of furniture for reclining and sleeping usually consisting of a frame and a matress,bed,,,E
ekitanda,n,admission of patients in a hospital,,Omurwaire wangye bamuhaire ekitanda omu irwariro.,My patient was admitted in hospital.,E
ekitangaazo,n,an optical divice such as a pair of field glasses designed to see what is far,binocular,,,E
ekitangura,,,,,,E
ekitara,n,a building for storing grains,granery,Oburo babuhunikire omu kitara.,Thy kept the millet in a granary.,E
ekitaraariire,n,something that happens unexpectedly,,Enjura yaagwa ekitaraaariire.,It all of a suddern rained.,E
ekitaraate,n,"a child who plays a lot, is naughty and hyperactive",a playful child,,,E
ekitarabamba,n,a pool of water that collects after rain,,,,E
ekitarakumbwe,n,,,,,E
ekitashaaya,n,a boat or ship for carrying passengers and goods especially over a relatively short distance and as a regular service,ferry,,,E
ekiteba,n,a clay water pot,,,,E
ekitebe,n,a seat without a back or arms typically resting on three or four legs or on a single pedestal,stool,,,E
ekitebyo,n,"a fictional prose narrative of considerable length, typically having a plot that is unfolded by the actions, speech and thought of the characters",novel,Nkashoma ekitebyo ky'Abagyenda Bareeba kyanshemeza.,I read the novel 'Abagyenda Bareeba' and it was interesting.,E
ekitebyo,n,a piece of fiction that narrates the course of events,story,,,E
ekiteebo,n,"a container made of interwoven twigs, strips of wood, rushes or the membrane of papyrus reeds",basket,,,E
ekiteega,n,the back part of the foot below the ankle,heel,,,E
ekiteehurizi,v,a house at the parish headquarters where people gather for meetings and other government functions,,,,E
ekiteekateeko,n,the process ог act of thinking,"thought, idea, suggestion",Akahayo ekiteekateeko kye omu rukiiko.,He gave his thought in the meeting.,E
ekiteeko,n,a net for milk pot,,Baaruka ekiteeko kirungi kyokutamu ekyanzi.,They have wooven a good net for milk pot.,E
ekiteekyerezo,n,,,,,E
ekiteera,n,"a large primate that lacks a tail including the gorilla, chimpanze, etc",ape,,,E
ekiteera-masinde,n,a plant-eating insect with long hind legs which are used in jumping. It is usually greenish in colour,solitary locust,,,E
ekiteera-njogyera,n,a young child who is just beginning to walk,,Omwana wangye hati n'ekiteera-njogyera.,My child is now beginning to walk.,E
ekiteera-nkome,n,a type of bird with greyish feathers,,,,E
ekiteera-nkumba,n,a brownish bird that makes nests in people's houses especially roof corners,sparrow,,,E
ekiteerateerero,n,a dish where ghee that has just been churned is inspected for removal of foreign matter,,,,E
ekiteerero,n,side of a garden where the weeds are thrown,,,,E
ekiteero,n,"each of the series of small bones forming the back bone, having several projection for articulation and muscle attachment and a hole through which the spinal cord passes",lumbar vertebra,,,E
ekiteete,n,a basket-like wooven container used for carrying fish,,,,E
ekiteete,n,lemon grass,,,,E
ekiteeteeya,n,"a type of round house normally built with mud and wattle and grass thatched. Recently, iron sheets are also used for the roof",round house,,,E
ekiteeteeyi,n,"an outer garment worn by women, consisting of a one-piece top and a skirt",dress,,,E
ekiteetengwa,n,a type of banana plant with a short stem and bears a large bunch of banana with squeezed clusters,,,,E
ekitega,n,half full of any substance in a container,,,,E
ekitehurizi,n,,,,,E
ekiteiso,n,an idea or plan put forward for consideration,suggestion,,,E
ekitekyere,n,a large root of a tropical tuber that is cooked as food and leaves can be prepared as vegetables,yam,,,E
